x,u
    0.000000,    0.000000
    0.010000,    0.011894
    0.020000,    0.023786
    0.030000,    0.035671
    0.040000,    0.047548
    0.050000,    0.059412
    0.060000,    0.071262
    0.070000,    0.083094
    0.080000,    0.094906
    0.090000,    0.106694
    0.100000,    0.118455
    0.110000,    0.130187
    0.120000,    0.141886
    0.130000,    0.153550
    0.140000,    0.165175
    0.150000,    0.176760
    0.160000,    0.188300
    0.170000,    0.199793
    0.180000,    0.211237
    0.190000,    0.222628
    0.200000,    0.233964
    0.210000,    0.245241
    0.220000,    0.256457
    0.230000,    0.267609
    0.240000,    0.278695
    0.250000,    0.289711
    0.260000,    0.300654
    0.270000,    0.311523
    0.280000,    0.322315
    0.290000,    0.333026
    0.300000,    0.343654
    0.310000,    0.354196
    0.320000,    0.364650
    0.330000,    0.375013
    0.340000,    0.385283
    0.350000,    0.395456
    0.360000,    0.405531
    0.370000,    0.415505
    0.380000,    0.425376
    0.390000,    0.435140
    0.400000,    0.444796
    0.410000,    0.454342
    0.420000,    0.463774
    0.430000,    0.473090
    0.440000,    0.482288
    0.450000,    0.491367
    0.460000,    0.500322
    0.470000,    0.509154
    0.480000,    0.517858
    0.490000,    0.526433
    0.500000,    0.534877
    0.510000,    0.543187
    0.520000,    0.551363
    0.530000,    0.559401
    0.540000,    0.567299
    0.550000,    0.575056
    0.560000,    0.582670
    0.570000,    0.590138
    0.580000,    0.597460
    0.590000,    0.604633
    0.600000,    0.611654
    0.610000,    0.618524
    0.620000,    0.625239
    0.630000,    0.631799
    0.640000,    0.638201
    0.650000,    0.644444
    0.660000,    0.650526
    0.670000,    0.656446
    0.680000,    0.662203
    0.690000,    0.667794
    0.700000,    0.673220
    0.710000,    0.678477
    0.720000,    0.683565
    0.730000,    0.688483
    0.740000,    0.693230
    0.750000,    0.697803
    0.760000,    0.702203
    0.770000,    0.706427
    0.780000,    0.710476
    0.790000,    0.714348
    0.800000,    0.718041
    0.810000,    0.721556
    0.820000,    0.724890
    0.830000,    0.728045
    0.840000,    0.731017
    0.850000,    0.733808
    0.860000,    0.736415
    0.870000,    0.738839
    0.880000,    0.741079
    0.890000,    0.743134
    0.900000,    0.745004
    0.910000,    0.746689
    0.920000,    0.748187
    0.930000,    0.749499
    0.940000,    0.750624
    0.950000,    0.751562
    0.960000,    0.752312
    0.970000,    0.752875
    0.980000,    0.753251
    0.990000,    0.753439
    1.000000,    0.753439
    1.010000,    0.753251
    1.020000,    0.752875
    1.030000,    0.752312
    1.040000,    0.751562
    1.050000,    0.750624
    1.060000,    0.749499
    1.070000,    0.748187
    1.080000,    0.746689
    1.090000,    0.745004
    1.100000,    0.743134
    1.110000,    0.741079
    1.120000,    0.738839
    1.130000,    0.736415
    1.140000,    0.733808
    1.150000,    0.731017
    1.160000,    0.728045
    1.170000,    0.724890
    1.180000,    0.721556
    1.190000,    0.718041
    1.200000,    0.714348
    1.210000,    0.710476
    1.220000,    0.706427
    1.230000,    0.702203
    1.240000,    0.697803
    1.250000,    0.693230
    1.260000,    0.688483
    1.270000,    0.683565
    1.280000,    0.678477
    1.290000,    0.673220
    1.300000,    0.667794
    1.310000,    0.662203
    1.320000,    0.656446
    1.330000,    0.650526
    1.340000,    0.644444
    1.350000,    0.638201
    1.360000,    0.631799
    1.370000,    0.625239
    1.380000,    0.618524
    1.390000,    0.611654
    1.400000,    0.604632
    1.410000,    0.597460
    1.420000,    0.590138
    1.430000,    0.582670
    1.440000,    0.575056
    1.450000,    0.567299
    1.460000,    0.559401
    1.470000,    0.551363
    1.480000,    0.543187
    1.490000,    0.534877
    1.500000,    0.526433
    1.510000,    0.517858
    1.520000,    0.509153
    1.530000,    0.500322
    1.540000,    0.491367
    1.550000,    0.482288
    1.560000,    0.473090
    1.570000,    0.463774
    1.580000,    0.454342
    1.590000,    0.444796
    1.600000,    0.435140
    1.610000,    0.425376
    1.620000,    0.415505
    1.630000,    0.405531
    1.640000,    0.395456
    1.650000,    0.385283
    1.660000,    0.375013
    1.670000,    0.364650
    1.680000,    0.354196
    1.690000,    0.343654
    1.700000,    0.333026
    1.710000,    0.322315
    1.720000,    0.311523
    1.730000,    0.300654
    1.740000,    0.289711
    1.750000,    0.278695
    1.760000,    0.267609
    1.770000,    0.256457
    1.780000,    0.245241
    1.790000,    0.233964
    1.800000,    0.222628
    1.810000,    0.211237
    1.820000,    0.199793
    1.830000,    0.188300
    1.840000,    0.176760
    1.850000,    0.165175
    1.860000,    0.153550
    1.870000,    0.141886
    1.880000,    0.130187
    1.890000,    0.118455
    1.900000,    0.106694
    1.910000,    0.094906
    1.920000,    0.083094
    1.930000,    0.071262
    1.940000,    0.059412
    1.950000,    0.047548
    1.960000,    0.035671
    1.970000,    0.023786
    1.980000,    0.011894
    1.990000,    0.000000
