x,u
    0.000000,    0.000000
    0.010000,    0.002248
    0.020000,    0.004495
    0.030000,    0.006741
    0.040000,    0.008986
    0.050000,    0.011228
    0.060000,    0.013467
    0.070000,    0.015704
    0.080000,    0.017936
    0.090000,    0.020163
    0.100000,    0.022386
    0.110000,    0.024603
    0.120000,    0.026814
    0.130000,    0.029018
    0.140000,    0.031215
    0.150000,    0.033405
    0.160000,    0.035586
    0.170000,    0.037758
    0.180000,    0.039920
    0.190000,    0.042073
    0.200000,    0.044215
    0.210000,    0.046347
    0.220000,    0.048466
    0.230000,    0.050574
    0.240000,    0.052669
    0.250000,    0.054751
    0.260000,    0.056819
    0.270000,    0.058873
    0.280000,    0.060912
    0.290000,    0.062936
    0.300000,    0.064945
    0.310000,    0.066937
    0.320000,    0.068913
    0.330000,    0.070871
    0.340000,    0.072812
    0.350000,    0.074735
    0.360000,    0.076639
    0.370000,    0.078524
    0.380000,    0.080389
    0.390000,    0.082235
    0.400000,    0.084059
    0.410000,    0.085863
    0.420000,    0.087646
    0.430000,    0.089406
    0.440000,    0.091145
    0.450000,    0.092860
    0.460000,    0.094553
    0.470000,    0.096222
    0.480000,    0.097867
    0.490000,    0.099487
    0.500000,    0.101083
    0.510000,    0.102654
    0.520000,    0.104199
    0.530000,    0.105718
    0.540000,    0.107210
    0.550000,    0.108676
    0.560000,    0.110115
    0.570000,    0.111527
    0.580000,    0.112910
    0.590000,    0.114266
    0.600000,    0.115593
    0.610000,    0.116891
    0.620000,    0.118160
    0.630000,    0.119400
    0.640000,    0.120610
    0.650000,    0.121789
    0.660000,    0.122939
    0.670000,    0.124058
    0.680000,    0.125146
    0.690000,    0.126202
    0.700000,    0.127228
    0.710000,    0.128221
    0.720000,    0.129183
    0.730000,    0.130112
    0.740000,    0.131009
    0.750000,    0.131874
    0.760000,    0.132705
    0.770000,    0.133503
    0.780000,    0.134269
    0.790000,    0.135000
    0.800000,    0.135698
    0.810000,    0.136362
    0.820000,    0.136993
    0.830000,    0.137589
    0.840000,    0.138150
    0.850000,    0.138678
    0.860000,    0.139171
    0.870000,    0.139629
    0.880000,    0.140052
    0.890000,    0.140440
    0.900000,    0.140794
    0.910000,    0.141112
    0.920000,    0.141395
    0.930000,    0.141643
    0.940000,    0.141856
    0.950000,    0.142033
    0.960000,    0.142175
    0.970000,    0.142281
    0.980000,    0.142352
    0.990000,    0.142388
    1.000000,    0.142388
    1.010000,    0.142352
    1.020000,    0.142281
    1.030000,    0.142175
    1.040000,    0.142033
    1.050000,    0.141856
    1.060000,    0.141643
    1.070000,    0.141395
    1.080000,    0.141112
    1.090000,    0.140794
    1.100000,    0.140440
    1.110000,    0.140052
    1.120000,    0.139629
    1.130000,    0.139171
    1.140000,    0.138678
    1.150000,    0.138151
    1.160000,    0.137589
    1.170000,    0.136993
    1.180000,    0.136362
    1.190000,    0.135698
    1.200000,    0.135000
    1.210000,    0.134269
    1.220000,    0.133503
    1.230000,    0.132705
    1.240000,    0.131874
    1.250000,    0.131009
    1.260000,    0.130112
    1.270000,    0.129183
    1.280000,    0.128221
    1.290000,    0.127228
    1.300000,    0.126202
    1.310000,    0.125146
    1.320000,    0.124058
    1.330000,    0.122939
    1.340000,    0.121790
    1.350000,    0.120610
    1.360000,    0.119400
    1.370000,    0.118160
    1.380000,    0.116891
    1.390000,    0.115593
    1.400000,    0.114266
    1.410000,    0.112910
    1.420000,    0.111527
    1.430000,    0.110115
    1.440000,    0.108676
    1.450000,    0.107210
    1.460000,    0.105718
    1.470000,    0.104199
    1.480000,    0.102654
    1.490000,    0.101083
    1.500000,    0.099487
    1.510000,    0.097867
    1.520000,    0.096222
    1.530000,    0.094553
    1.540000,    0.092860
    1.550000,    0.091145
    1.560000,    0.089406
    1.570000,    0.087646
    1.580000,    0.085863
    1.590000,    0.084059
    1.600000,    0.082235
    1.610000,    0.080389
    1.620000,    0.078524
    1.630000,    0.076639
    1.640000,    0.074735
    1.650000,    0.072812
    1.660000,    0.070871
    1.670000,    0.068913
    1.680000,    0.066937
    1.690000,    0.064945
    1.700000,    0.062936
    1.710000,    0.060912
    1.720000,    0.058873
    1.730000,    0.056819
    1.740000,    0.054751
    1.750000,    0.052669
    1.760000,    0.050574
    1.770000,    0.048466
    1.780000,    0.046347
    1.790000,    0.044215
    1.800000,    0.042073
    1.810000,    0.039920
    1.820000,    0.037758
    1.830000,    0.035586
    1.840000,    0.033405
    1.850000,    0.031215
    1.860000,    0.029018
    1.870000,    0.026814
    1.880000,    0.024603
    1.890000,    0.022386
    1.900000,    0.020163
    1.910000,    0.017936
    1.920000,    0.015704
    1.930000,    0.013467
    1.940000,    0.011228
    1.950000,    0.008986
    1.960000,    0.006741
    1.970000,    0.004495
    1.980000,    0.002248
    1.990000,    0.000000
