x,u
    0.000000,    0.000000
    0.010000,    0.015122
    0.020000,    0.030240
    0.030000,    0.045350
    0.040000,    0.060449
    0.050000,    0.075533
    0.060000,    0.090598
    0.070000,    0.105641
    0.080000,    0.120657
    0.090000,    0.135644
    0.100000,    0.150596
    0.110000,    0.165511
    0.120000,    0.180385
    0.130000,    0.195213
    0.140000,    0.209993
    0.150000,    0.224721
    0.160000,    0.239393
    0.170000,    0.254005
    0.180000,    0.268554
    0.190000,    0.283035
    0.200000,    0.297447
    0.210000,    0.311784
    0.220000,    0.326043
    0.230000,    0.340221
    0.240000,    0.354315
    0.250000,    0.368320
    0.260000,    0.382233
    0.270000,    0.396051
    0.280000,    0.409771
    0.290000,    0.423388
    0.300000,    0.436900
    0.310000,    0.450302
    0.320000,    0.463593
    0.330000,    0.476768
    0.340000,    0.489824
    0.350000,    0.502758
    0.360000,    0.515567
    0.370000,    0.528248
    0.380000,    0.540796
    0.390000,    0.553210
    0.400000,    0.565486
    0.410000,    0.577621
    0.420000,    0.589613
    0.430000,    0.601457
    0.440000,    0.613151
    0.450000,    0.624693
    0.460000,    0.636079
    0.470000,    0.647306
    0.480000,    0.658372
    0.490000,    0.669274
    0.500000,    0.680009
    0.510000,    0.690575
    0.520000,    0.700968
    0.530000,    0.711187
    0.540000,    0.721229
    0.550000,    0.731090
    0.560000,    0.740770
    0.570000,    0.750265
    0.580000,    0.759573
    0.590000,    0.768692
    0.600000,    0.777619
    0.610000,    0.786353
    0.620000,    0.794890
    0.630000,    0.803229
    0.640000,    0.811368
    0.650000,    0.819305
    0.660000,    0.827038
    0.670000,    0.834565
    0.680000,    0.841883
    0.690000,    0.848992
    0.700000,    0.855889
    0.710000,    0.862573
    0.720000,    0.869042
    0.730000,    0.875294
    0.740000,    0.881329
    0.750000,    0.887143
    0.760000,    0.892737
    0.770000,    0.898108
    0.780000,    0.903255
    0.790000,    0.908177
    0.800000,    0.912873
    0.810000,    0.917341
    0.820000,    0.921580
    0.830000,    0.925590
    0.840000,    0.929370
    0.850000,    0.932917
    0.860000,    0.936232
    0.870000,    0.939314
    0.880000,    0.942162
    0.890000,    0.944775
    0.900000,    0.947152
    0.910000,    0.949293
    0.920000,    0.951198
    0.930000,    0.952866
    0.940000,    0.954296
    0.950000,    0.955489
    0.960000,    0.956443
    0.970000,    0.957159
    0.980000,    0.957636
    0.990000,    0.957875
    1.000000,    0.957875
    1.010000,    0.957636
    1.020000,    0.957159
    1.030000,    0.956443
    1.040000,    0.955489
    1.050000,    0.954296
    1.060000,    0.952866
    1.070000,    0.951198
    1.080000,    0.949293
    1.090000,    0.947152
    1.100000,    0.944775
    1.110000,    0.942162
    1.120000,    0.939314
    1.130000,    0.936232
    1.140000,    0.932917
    1.150000,    0.929370
    1.160000,    0.925590
    1.170000,    0.921580
    1.180000,    0.917341
    1.190000,    0.912873
    1.200000,    0.908177
    1.210000,    0.903255
    1.220000,    0.898108
    1.230000,    0.892737
    1.240000,    0.887143
    1.250000,    0.881329
    1.260000,    0.875294
    1.270000,    0.869042
    1.280000,    0.862573
    1.290000,    0.855889
    1.300000,    0.848992
    1.310000,    0.841883
    1.320000,    0.834565
    1.330000,    0.827038
    1.340000,    0.819305
    1.350000,    0.811368
    1.360000,    0.803229
    1.370000,    0.794890
    1.380000,    0.786352
    1.390000,    0.777619
    1.400000,    0.768692
    1.410000,    0.759573
    1.420000,    0.750265
    1.430000,    0.740770
    1.440000,    0.731090
    1.450000,    0.721229
    1.460000,    0.711187
    1.470000,    0.700968
    1.480000,    0.690575
    1.490000,    0.680009
    1.500000,    0.669274
    1.510000,    0.658372
    1.520000,    0.647306
    1.530000,    0.636079
    1.540000,    0.624693
    1.550000,    0.613151
    1.560000,    0.601457
    1.570000,    0.589613
    1.580000,    0.577621
    1.590000,    0.565486
    1.600000,    0.553210
    1.610000,    0.540796
    1.620000,    0.528248
    1.630000,    0.515567
    1.640000,    0.502758
    1.650000,    0.489824
    1.660000,    0.476768
    1.670000,    0.463593
    1.680000,    0.450302
    1.690000,    0.436899
    1.700000,    0.423388
    1.710000,    0.409771
    1.720000,    0.396051
    1.730000,    0.382233
    1.740000,    0.368320
    1.750000,    0.354315
    1.760000,    0.340221
    1.770000,    0.326043
    1.780000,    0.311784
    1.790000,    0.297447
    1.800000,    0.283035
    1.810000,    0.268554
    1.820000,    0.254005
    1.830000,    0.239393
    1.840000,    0.224721
    1.850000,    0.209993
    1.860000,    0.195213
    1.870000,    0.180385
    1.880000,    0.165511
    1.890000,    0.150596
    1.900000,    0.135644
    1.910000,    0.120657
    1.920000,    0.105641
    1.930000,    0.090598
    1.940000,    0.075533
    1.950000,    0.060449
    1.960000,    0.045350
    1.970000,    0.030240
    1.980000,    0.015122
    1.990000,    0.000000
