x,u
    0.000000,    0.985762
    0.010000,    0.985762
    0.020000,    0.985509
    0.030000,    0.985018
    0.040000,    0.984261
    0.050000,    0.983277
    0.060000,    0.982018
    0.070000,    0.980540
    0.080000,    0.978783
    0.090000,    0.976810
    0.100000,    0.974561
    0.110000,    0.972089
    0.120000,    0.969357
    0.130000,    0.966382
    0.140000,    0.963176
    0.150000,    0.959693
    0.160000,    0.956024
    0.170000,    0.952029
    0.180000,    0.947909
    0.190000,    0.943400
    0.200000,    0.938835
    0.210000,    0.933818
    0.220000,    0.928808
    0.230000,    0.923297
    0.240000,    0.917832
    0.250000,    0.911853
    0.260000,    0.905911
    0.270000,    0.899504
    0.280000,    0.893055
    0.290000,    0.886263
    0.300000,    0.879277
    0.310000,    0.872137
    0.320000,    0.864603
    0.330000,    0.857125
    0.340000,    0.849066
    0.350000,    0.841218
    0.360000,    0.832707
    0.370000,    0.824410
    0.380000,    0.815556
    0.390000,    0.806715
    0.400000,    0.797620
    0.410000,    0.788179
    0.420000,    0.778872
    0.430000,    0.768877
    0.440000,    0.759266
    0.450000,    0.748889
    0.460000,    0.738783
    0.470000,    0.728240
    0.480000,    0.717478
    0.490000,    0.706868
    0.500000,    0.695495
    0.510000,    0.684659
    0.520000,    0.672973
    0.530000,    0.661570
    0.540000,    0.649912
    0.550000,    0.637752
    0.560000,    0.626120
    0.570000,    0.613477
    0.580000,    0.601415
    0.590000,    0.588848
    0.600000,    0.575934
    0.610000,    0.563586
    0.620000,    0.550115
    0.630000,    0.537349
    0.640000,    0.524125
    0.650000,    0.510367
    0.660000,    0.497460
    0.670000,    0.483325
    0.680000,    0.469694
    0.690000,    0.456185
    0.700000,    0.441519
    0.710000,    0.427990
    0.720000,    0.413697
    0.730000,    0.398849
    0.740000,    0.385218
    0.750000,    0.370229
    0.760000,    0.355323
    0.770000,    0.341475
    0.780000,    0.325962
    0.790000,    0.310929
    0.800000,    0.296915
    0.810000,    0.281042
    0.820000,    0.265671
    0.830000,    0.251649
    0.840000,    0.235681
    0.850000,    0.219602
    0.860000,    0.205582
    0.870000,    0.190181
    0.880000,    0.173118
    0.890000,    0.158246
    0.900000,    0.144326
    0.910000,    0.127600
    0.920000,    0.110040
    0.930000,    0.095578
    0.940000,    0.082575
    0.950000,    0.066489
    0.960000,    0.046944
    0.970000,    0.028276
    0.980000,    0.014848
    0.990000,    0.008227
    1.000000,    0.008227
    1.010000,    0.014848
    1.020000,    0.028276
    1.030000,    0.046944
    1.040000,    0.066489
    1.050000,    0.082575
    1.060000,    0.095578
    1.070000,    0.110040
    1.080000,    0.127600
    1.090000,    0.144326
    1.100000,    0.158246
    1.110000,    0.173118
    1.120000,    0.190181
    1.130000,    0.205582
    1.140000,    0.219602
    1.150000,    0.235681
    1.160000,    0.251649
    1.170000,    0.265671
    1.180000,    0.281042
    1.190000,    0.296915
    1.200000,    0.310929
    1.210000,    0.325962
    1.220000,    0.341475
    1.230000,    0.355323
    1.240000,    0.370229
    1.250000,    0.385218
    1.260000,    0.398849
    1.270000,    0.413697
    1.280000,    0.427990
    1.290000,    0.441519
    1.300000,    0.456185
    1.310000,    0.469694
    1.320000,    0.483325
    1.330000,    0.497460
    1.340000,    0.510367
    1.350000,    0.524125
    1.360000,    0.537349
    1.370000,    0.550115
    1.380000,    0.563586
    1.390000,    0.575934
    1.400000,    0.588848
    1.410000,    0.601415
    1.420000,    0.613477
    1.430000,    0.626120
    1.440000,    0.637752
    1.450000,    0.649912
    1.460000,    0.661570
    1.470000,    0.672973
    1.480000,    0.684659
    1.490000,    0.695495
    1.500000,    0.706868
    1.510000,    0.717478
    1.520000,    0.728240
    1.530000,    0.738783
    1.540000,    0.748889
    1.550000,    0.759266
    1.560000,    0.768877
    1.570000,    0.778872
    1.580000,    0.788179
    1.590000,    0.797620
    1.600000,    0.806715
    1.610000,    0.815556
    1.620000,    0.824410
    1.630000,    0.832707
    1.640000,    0.841218
    1.650000,    0.849066
    1.660000,    0.857125
    1.670000,    0.864603
    1.680000,    0.872137
    1.690000,    0.879277
    1.700000,    0.886263
    1.710000,    0.893055
    1.720000,    0.899504
    1.730000,    0.905911
    1.740000,    0.911853
    1.750000,    0.917832
    1.760000,    0.923297
    1.770000,    0.928808
    1.780000,    0.933818
    1.790000,    0.938835
    1.800000,    0.943400
    1.810000,    0.947909
    1.820000,    0.952029
    1.830000,    0.956024
    1.840000,    0.959693
    1.850000,    0.963176
    1.860000,    0.966382
    1.870000,    0.969357
    1.880000,    0.972089
    1.890000,    0.974561
    1.900000,    0.976810
    1.910000,    0.978783
    1.920000,    0.980540
    1.930000,    0.982018
    1.940000,    0.983277
    1.950000,    0.984261
    1.960000,    0.985018
    1.970000,    0.985509
    1.980000,    0.985762
    1.990000,    0.985762
