x,u
    0.000000,    0.947652
    0.010000,    0.947652
    0.020000,    0.947404
    0.030000,    0.946941
    0.040000,    0.946198
    0.050000,    0.945271
    0.060000,    0.944035
    0.070000,    0.942645
    0.080000,    0.940918
    0.090000,    0.939062
    0.100000,    0.936851
    0.110000,    0.934527
    0.120000,    0.931840
    0.130000,    0.929040
    0.140000,    0.925894
    0.150000,    0.922605
    0.160000,    0.919019
    0.170000,    0.915226
    0.180000,    0.911223
    0.190000,    0.906913
    0.200000,    0.902512
    0.210000,    0.897677
    0.220000,    0.892886
    0.230000,    0.887538
    0.240000,    0.882344
    0.250000,    0.876521
    0.260000,    0.870879
    0.270000,    0.864652
    0.280000,    0.858492
    0.290000,    0.851946
    0.300000,    0.845201
    0.310000,    0.838398
    0.320000,    0.831052
    0.330000,    0.823977
    0.340000,    0.816111
    0.350000,    0.808643
    0.360000,    0.800440
    0.370000,    0.792387
    0.380000,    0.784043
    0.390000,    0.775280
    0.400000,    0.766836
    0.410000,    0.757471
    0.420000,    0.748698
    0.430000,    0.739088
    0.440000,    0.729610
    0.450000,    0.720080
    0.460000,    0.709774
    0.470000,    0.700194
    0.480000,    0.689498
    0.490000,    0.679256
    0.500000,    0.668796
    0.510000,    0.657549
    0.520000,    0.647210
    0.530000,    0.635623
    0.540000,    0.624436
    0.550000,    0.613394
    0.560000,    0.601103
    0.570000,    0.589985
    0.580000,    0.577951
    0.590000,    0.565413
    0.600000,    0.554080
    0.610000,    0.541154
    0.620000,    0.528515
    0.630000,    0.516810
    0.640000,    0.503189
    0.650000,    0.490333
    0.660000,    0.478352
    0.670000,    0.464201
    0.680000,    0.450801
    0.690000,    0.438812
    0.700000,    0.424488
    0.710000,    0.409916
    0.720000,    0.397856
    0.730000,    0.384545
    0.740000,    0.368546
    0.750000,    0.354367
    0.760000,    0.342996
    0.770000,    0.329654
    0.780000,    0.312139
    0.790000,    0.294354
    0.800000,    0.281285
    0.810000,    0.274405
    0.820000,    0.272075
    0.830000,    0.272038
    0.840000,    0.272826
    0.850000,    0.273801
    0.860000,    0.274763
    0.870000,    0.275667
    0.880000,    0.276502
    0.890000,    0.277269
    0.900000,    0.277967
    0.910000,    0.278595
    0.920000,    0.279154
    0.930000,    0.279644
    0.940000,    0.280063
    0.950000,    0.280413
    0.960000,    0.280693
    0.970000,    0.280903
    0.980000,    0.281044
    0.990000,    0.281114
    1.000000,    0.281114
    1.010000,    0.281044
    1.020000,    0.280903
    1.030000,    0.280693
    1.040000,    0.280413
    1.050000,    0.280063
    1.060000,    0.279644
    1.070000,    0.279154
    1.080000,    0.278595
    1.090000,    0.277967
    1.100000,    0.277269
    1.110000,    0.276502
    1.120000,    0.275667
    1.130000,    0.274763
    1.140000,    0.273801
    1.150000,    0.272826
    1.160000,    0.272038
    1.170000,    0.272075
    1.180000,    0.274405
    1.190000,    0.281285
    1.200000,    0.294354
    1.210000,    0.312139
    1.220000,    0.329654
    1.230000,    0.342996
    1.240000,    0.354367
    1.250000,    0.368546
    1.260000,    0.384545
    1.270000,    0.397856
    1.280000,    0.409916
    1.290000,    0.424488
    1.300000,    0.438812
    1.310000,    0.450801
    1.320000,    0.464201
    1.330000,    0.478352
    1.340000,    0.490333
    1.350000,    0.503189
    1.360000,    0.516810
    1.370000,    0.528515
    1.380000,    0.541154
    1.390000,    0.554080
    1.400000,    0.565413
    1.410000,    0.577951
    1.420000,    0.589985
    1.430000,    0.601103
    1.440000,    0.613394
    1.450000,    0.624436
    1.460000,    0.635623
    1.470000,    0.647210
    1.480000,    0.657549
    1.490000,    0.668796
    1.500000,    0.679256
    1.510000,    0.689498
    1.520000,    0.700194
    1.530000,    0.709774
    1.540000,    0.720080
    1.550000,    0.729610
    1.560000,    0.739088
    1.570000,    0.748698
    1.580000,    0.757471
    1.590000,    0.766836
    1.600000,    0.775280
    1.610000,    0.784043
    1.620000,    0.792387
    1.630000,    0.800440
    1.640000,    0.808643
    1.650000,    0.816111
    1.660000,    0.823977
    1.670000,    0.831052
    1.680000,    0.838398
    1.690000,    0.845201
    1.700000,    0.851946
    1.710000,    0.858492
    1.720000,    0.864652
    1.730000,    0.870879
    1.740000,    0.876521
    1.750000,    0.882344
    1.760000,    0.887538
    1.770000,    0.892886
    1.780000,    0.897677
    1.790000,    0.902512
    1.800000,    0.906913
    1.810000,    0.911223
    1.820000,    0.915226
    1.830000,    0.919019
    1.840000,    0.922605
    1.850000,    0.925894
    1.860000,    0.929040
    1.870000,    0.931840
    1.880000,    0.934527
    1.890000,    0.936851
    1.900000,    0.939062
    1.910000,    0.940918
    1.920000,    0.942645
    1.930000,    0.944035
    1.940000,    0.945271
    1.950000,    0.946198
    1.960000,    0.946941
    1.970000,    0.947404
    1.980000,    0.947652
    1.990000,    0.947652
