x,u
    0.000000,    0.976689
    0.010000,    0.976689
    0.020000,    0.976448
    0.030000,    0.975942
    0.040000,    0.975219
    0.050000,    0.974209
    0.060000,    0.973003
    0.070000,    0.971492
    0.080000,    0.969801
    0.090000,    0.967795
    0.100000,    0.965616
    0.110000,    0.963122
    0.120000,    0.960450
    0.130000,    0.957479
    0.140000,    0.954308
    0.150000,    0.950873
    0.160000,    0.947193
    0.170000,    0.943311
    0.180000,    0.939115
    0.190000,    0.934800
    0.200000,    0.930084
    0.210000,    0.925344
    0.220000,    0.920113
    0.230000,    0.914945
    0.240000,    0.909221
    0.250000,    0.903604
    0.260000,    0.897429
    0.270000,    0.891325
    0.280000,    0.884755
    0.290000,    0.878115
    0.300000,    0.871209
    0.310000,    0.863999
    0.320000,    0.856788
    0.330000,    0.849014
    0.340000,    0.841474
    0.350000,    0.833211
    0.360000,    0.825248
    0.370000,    0.816634
    0.380000,    0.808113
    0.390000,    0.799291
    0.400000,    0.790121
    0.410000,    0.781135
    0.420000,    0.771375
    0.430000,    0.762092
    0.440000,    0.751978
    0.450000,    0.742131
    0.460000,    0.731941
    0.470000,    0.721349
    0.480000,    0.711138
    0.490000,    0.699957
    0.500000,    0.689403
    0.510000,    0.678099
    0.520000,    0.666759
    0.530000,    0.655638
    0.540000,    0.643529
    0.550000,    0.632236
    0.560000,    0.620020
    0.570000,    0.607850
    0.580000,    0.596021
    0.590000,    0.583012
    0.600000,    0.570955
    0.610000,    0.558143
    0.620000,    0.544928
    0.630000,    0.532633
    0.640000,    0.518913
    0.650000,    0.505774
    0.660000,    0.492904
    0.670000,    0.478574
    0.680000,    0.465476
    0.690000,    0.451959
    0.700000,    0.437213
    0.710000,    0.424032
    0.720000,    0.410020
    0.730000,    0.394849
    0.740000,    0.381482
    0.750000,    0.367300
    0.760000,    0.351563
    0.770000,    0.337773
    0.780000,    0.323961
    0.790000,    0.307734
    0.800000,    0.292721
    0.810000,    0.279641
    0.820000,    0.264281
    0.830000,    0.247085
    0.840000,    0.232519
    0.850000,    0.220116
    0.860000,    0.205086
    0.870000,    0.186205
    0.880000,    0.167627
    0.890000,    0.153892
    0.900000,    0.146169
    0.910000,    0.142865
    0.920000,    0.141860
    0.930000,    0.141742
    0.940000,    0.141873
    0.950000,    0.142035
    0.960000,    0.142175
    0.970000,    0.142281
    0.980000,    0.142352
    0.990000,    0.142388
    1.000000,    0.142388
    1.010000,    0.142352
    1.020000,    0.142281
    1.030000,    0.142175
    1.040000,    0.142035
    1.050000,    0.141873
    1.060000,    0.141742
    1.070000,    0.141860
    1.080000,    0.142865
    1.090000,    0.146169
    1.100000,    0.153892
    1.110000,    0.167627
    1.120000,    0.186205
    1.130000,    0.205086
    1.140000,    0.220116
    1.150000,    0.232519
    1.160000,    0.247085
    1.170000,    0.264281
    1.180000,    0.279641
    1.190000,    0.292721
    1.200000,    0.307734
    1.210000,    0.323961
    1.220000,    0.337773
    1.230000,    0.351563
    1.240000,    0.367300
    1.250000,    0.381482
    1.260000,    0.394849
    1.270000,    0.410020
    1.280000,    0.424032
    1.290000,    0.437213
    1.300000,    0.451959
    1.310000,    0.465476
    1.320000,    0.478574
    1.330000,    0.492904
    1.340000,    0.505774
    1.350000,    0.518913
    1.360000,    0.532633
    1.370000,    0.544928
    1.380000,    0.558143
    1.390000,    0.570955
    1.400000,    0.583012
    1.410000,    0.596021
    1.420000,    0.607850
    1.430000,    0.620020
    1.440000,    0.632236
    1.450000,    0.643529
    1.460000,    0.655638
    1.470000,    0.666759
    1.480000,    0.678099
    1.490000,    0.689403
    1.500000,    0.699957
    1.510000,    0.711138
    1.520000,    0.721349
    1.530000,    0.731941
    1.540000,    0.742131
    1.550000,    0.751978
    1.560000,    0.762092
    1.570000,    0.771375
    1.580000,    0.781135
    1.590000,    0.790121
    1.600000,    0.799291
    1.610000,    0.808113
    1.620000,    0.816634
    1.630000,    0.825248
    1.640000,    0.833211
    1.650000,    0.841474
    1.660000,    0.849014
    1.670000,    0.856788
    1.680000,    0.863999
    1.690000,    0.871209
    1.700000,    0.878115
    1.710000,    0.884755
    1.720000,    0.891325
    1.730000,    0.897429
    1.740000,    0.903604
    1.750000,    0.909221
    1.760000,    0.914945
    1.770000,    0.920113
    1.780000,    0.925344
    1.790000,    0.930084
    1.800000,    0.934800
    1.810000,    0.939115
    1.820000,    0.943311
    1.830000,    0.947193
    1.840000,    0.950873
    1.850000,    0.954308
    1.860000,    0.957479
    1.870000,    0.960450
    1.880000,    0.963122
    1.890000,    0.965616
    1.900000,    0.967795
    1.910000,    0.969801
    1.920000,    0.971492
    1.930000,    0.973003
    1.940000,    0.974209
    1.950000,    0.975219
    1.960000,    0.975942
    1.970000,    0.976448
    1.980000,    0.976689
    1.990000,    0.976689
