x,u
    0.000000,    0.649229
    0.010000,    0.649229
    0.020000,    0.649061
    0.030000,    0.648736
    0.040000,    0.648229
    0.050000,    0.647588
    0.060000,    0.646729
    0.070000,    0.645791
    0.080000,    0.644558
    0.090000,    0.643347
    0.100000,    0.641720
    0.110000,    0.640256
    0.120000,    0.638226
    0.130000,    0.636505
    0.140000,    0.634102
    0.150000,    0.632070
    0.160000,    0.629383
    0.170000,    0.626923
    0.180000,    0.624100
    0.190000,    0.621064
    0.200000,    0.618230
    0.210000,    0.614570
    0.220000,    0.611661
    0.230000,    0.607602
    0.240000,    0.604239
    0.250000,    0.600277
    0.260000,    0.595986
    0.270000,    0.592399
    0.280000,    0.587318
    0.290000,    0.583446
    0.300000,    0.578677
    0.310000,    0.573396
    0.320000,    0.569453
    0.330000,    0.563483
    0.340000,    0.558397
    0.350000,    0.553977
    0.360000,    0.547096
    0.370000,    0.541947
    0.380000,    0.537413
    0.390000,    0.529684
    0.400000,    0.523402
    0.410000,    0.519856
    0.420000,    0.512971
    0.430000,    0.502549
    0.440000,    0.495456
    0.450000,    0.495615
    0.460000,    0.501281
    0.470000,    0.509297
    0.480000,    0.517871
    0.490000,    0.526433
    0.500000,    0.534877
    0.510000,    0.543187
    0.520000,    0.551363
    0.530000,    0.559401
    0.540000,    0.567299
    0.550000,    0.575056
    0.560000,    0.582670
    0.570000,    0.590138
    0.580000,    0.597460
    0.590000,    0.604633
    0.600000,    0.611654
    0.610000,    0.618524
    0.620000,    0.625239
    0.630000,    0.631799
    0.640000,    0.638201
    0.650000,    0.644444
    0.660000,    0.650526
    0.670000,    0.656446
    0.680000,    0.662203
    0.690000,    0.667794
    0.700000,    0.673220
    0.710000,    0.678477
    0.720000,    0.683565
    0.730000,    0.688483
    0.740000,    0.693230
    0.750000,    0.697803
    0.760000,    0.702203
    0.770000,    0.706427
    0.780000,    0.710476
    0.790000,    0.714348
    0.800000,    0.718041
    0.810000,    0.721556
    0.820000,    0.724890
    0.830000,    0.728045
    0.840000,    0.731017
    0.850000,    0.733808
    0.860000,    0.736415
    0.870000,    0.738839
    0.880000,    0.741079
    0.890000,    0.743134
    0.900000,    0.745004
    0.910000,    0.746689
    0.920000,    0.748187
    0.930000,    0.749499
    0.940000,    0.750624
    0.950000,    0.751562
    0.960000,    0.752312
    0.970000,    0.752876
    0.980000,    0.753251
    0.990000,    0.753439
    1.000000,    0.753439
    1.010000,    0.753251
    1.020000,    0.752876
    1.030000,    0.752312
    1.040000,    0.751562
    1.050000,    0.750624
    1.060000,    0.749499
    1.070000,    0.748187
    1.080000,    0.746689
    1.090000,    0.745004
    1.100000,    0.743134
    1.110000,    0.741079
    1.120000,    0.738839
    1.130000,    0.736415
    1.140000,    0.733808
    1.150000,    0.731017
    1.160000,    0.728045
    1.170000,    0.724890
    1.180000,    0.721556
    1.190000,    0.718041
    1.200000,    0.714348
    1.210000,    0.710476
    1.220000,    0.706427
    1.230000,    0.702203
    1.240000,    0.697803
    1.250000,    0.693230
    1.260000,    0.688483
    1.270000,    0.683565
    1.280000,    0.678477
    1.290000,    0.673220
    1.300000,    0.667794
    1.310000,    0.662203
    1.320000,    0.656446
    1.330000,    0.650526
    1.340000,    0.644444
    1.350000,    0.638201
    1.360000,    0.631799
    1.370000,    0.625239
    1.380000,    0.618524
    1.390000,    0.611654
    1.400000,    0.604633
    1.410000,    0.597460
    1.420000,    0.590138
    1.430000,    0.582670
    1.440000,    0.575056
    1.450000,    0.567299
    1.460000,    0.559401
    1.470000,    0.551363
    1.480000,    0.543187
    1.490000,    0.534877
    1.500000,    0.526433
    1.510000,    0.517871
    1.520000,    0.509297
    1.530000,    0.501281
    1.540000,    0.495615
    1.550000,    0.495456
    1.560000,    0.502549
    1.570000,    0.512971
    1.580000,    0.519856
    1.590000,    0.523402
    1.600000,    0.529684
    1.610000,    0.537413
    1.620000,    0.541947
    1.630000,    0.547096
    1.640000,    0.553977
    1.650000,    0.558397
    1.660000,    0.563483
    1.670000,    0.569453
    1.680000,    0.573396
    1.690000,    0.578677
    1.700000,    0.583446
    1.710000,    0.587318
    1.720000,    0.592399
    1.730000,    0.595986
    1.740000,    0.600277
    1.750000,    0.604239
    1.760000,    0.607602
    1.770000,    0.611661
    1.780000,    0.614570
    1.790000,    0.618230
    1.800000,    0.621064
    1.810000,    0.624100
    1.820000,    0.626923
    1.830000,    0.629383
    1.840000,    0.632070
    1.850000,    0.634102
    1.860000,    0.636505
    1.870000,    0.638226
    1.880000,    0.640256
    1.890000,    0.641720
    1.900000,    0.643347
    1.910000,    0.644558
    1.920000,    0.645791
    1.930000,    0.646729
    1.940000,    0.647588
    1.950000,    0.648229
    1.960000,    0.648736
    1.970000,    0.649061
    1.980000,    0.649229
    1.990000,    0.649229
