step,time,energy
        10,      0.0900000000,      0.9907504304
        20,      0.1800000000,      0.7341365116
        30,      0.2700000000,      0.5026466416
        40,      0.3600000000,      0.3280949206
        50,      0.4500000000,      0.2338541582
        60,      0.5400000000,      0.2322337521
        70,      0.6300000000,      0.3231117735
        80,      0.7200000000,      0.4939648467
        90,      0.8100000000,      0.7212922864
       100,      0.9000000000,      0.9732867674
       110,      0.9900000000,      1.2083831685
