x,u
    0.000000,    0.000000
    0.010000,    0.006538
    0.020000,    0.013075
    0.030000,    0.019609
    0.040000,    0.026138
    0.050000,    0.032660
    0.060000,    0.039174
    0.070000,    0.045678
    0.080000,    0.052171
    0.090000,    0.058651
    0.100000,    0.065116
    0.110000,    0.071565
    0.120000,    0.077996
    0.130000,    0.084408
    0.140000,    0.090799
    0.150000,    0.097167
    0.160000,    0.103511
    0.170000,    0.109829
    0.180000,    0.116119
    0.190000,    0.122381
    0.200000,    0.128613
    0.210000,    0.134812
    0.220000,    0.140977
    0.230000,    0.147108
    0.240000,    0.153202
    0.250000,    0.159257
    0.260000,    0.165273
    0.270000,    0.171248
    0.280000,    0.177180
    0.290000,    0.183068
    0.300000,    0.188910
    0.310000,    0.194706
    0.320000,    0.200452
    0.330000,    0.206149
    0.340000,    0.211794
    0.350000,    0.217387
    0.360000,    0.222925
    0.370000,    0.228408
    0.380000,    0.233834
    0.390000,    0.239202
    0.400000,    0.244510
    0.410000,    0.249757
    0.420000,    0.254942
    0.430000,    0.260063
    0.440000,    0.265119
    0.450000,    0.270110
    0.460000,    0.275033
    0.470000,    0.279888
    0.480000,    0.284672
    0.490000,    0.289386
    0.500000,    0.294028
    0.510000,    0.298596
    0.520000,    0.303091
    0.530000,    0.307509
    0.540000,    0.311851
    0.550000,    0.316115
    0.560000,    0.320300
    0.570000,    0.324406
    0.580000,    0.328431
    0.590000,    0.332374
    0.600000,    0.336234
    0.610000,    0.340010
    0.620000,    0.343701
    0.630000,    0.347307
    0.640000,    0.350826
    0.650000,    0.354258
    0.660000,    0.357602
    0.670000,    0.360856
    0.680000,    0.364021
    0.690000,    0.367094
    0.700000,    0.370077
    0.710000,    0.372967
    0.720000,    0.375764
    0.730000,    0.378467
    0.740000,    0.381076
    0.750000,    0.383590
    0.760000,    0.386009
    0.770000,    0.388331
    0.780000,    0.390557
    0.790000,    0.392685
    0.800000,    0.394716
    0.810000,    0.396648
    0.820000,    0.398481
    0.830000,    0.400215
    0.840000,    0.401849
    0.850000,    0.403383
    0.860000,    0.404816
    0.870000,    0.406149
    0.880000,    0.407380
    0.890000,    0.408510
    0.900000,    0.409538
    0.910000,    0.410463
    0.920000,    0.411287
    0.930000,    0.412008
    0.940000,    0.412627
    0.950000,    0.413142
    0.960000,    0.413555
    0.970000,    0.413864
    0.980000,    0.414071
    0.990000,    0.414174
    1.000000,    0.414174
    1.010000,    0.414071
    1.020000,    0.413864
    1.030000,    0.413555
    1.040000,    0.413142
    1.050000,    0.412627
    1.060000,    0.412008
    1.070000,    0.411287
    1.080000,    0.410463
    1.090000,    0.409538
    1.100000,    0.408510
    1.110000,    0.407380
    1.120000,    0.406149
    1.130000,    0.404816
    1.140000,    0.403383
    1.150000,    0.401849
    1.160000,    0.400215
    1.170000,    0.398481
    1.180000,    0.396648
    1.190000,    0.394716
    1.200000,    0.392685
    1.210000,    0.390557
    1.220000,    0.388331
    1.230000,    0.386009
    1.240000,    0.383590
    1.250000,    0.381076
    1.260000,    0.378467
    1.270000,    0.375764
    1.280000,    0.372967
    1.290000,    0.370077
    1.300000,    0.367094
    1.310000,    0.364021
    1.320000,    0.360856
    1.330000,    0.357602
    1.340000,    0.354258
    1.350000,    0.350826
    1.360000,    0.347307
    1.370000,    0.343701
    1.380000,    0.340010
    1.390000,    0.336234
    1.400000,    0.332374
    1.410000,    0.328431
    1.420000,    0.324406
    1.430000,    0.320300
    1.440000,    0.316115
    1.450000,    0.311851
    1.460000,    0.307509
    1.470000,    0.303091
    1.480000,    0.298596
    1.490000,    0.294028
    1.500000,    0.289386
    1.510000,    0.284672
    1.520000,    0.279888
    1.530000,    0.275033
    1.540000,    0.270110
    1.550000,    0.265119
    1.560000,    0.260063
    1.570000,    0.254942
    1.580000,    0.249757
    1.590000,    0.244510
    1.600000,    0.239202
    1.610000,    0.233834
    1.620000,    0.228408
    1.630000,    0.222925
    1.640000,    0.217387
    1.650000,    0.211794
    1.660000,    0.206149
    1.670000,    0.200452
    1.680000,    0.194706
    1.690000,    0.188910
    1.700000,    0.183068
    1.710000,    0.177180
    1.720000,    0.171248
    1.730000,    0.165273
    1.740000,    0.159257
    1.750000,    0.153202
    1.760000,    0.147108
    1.770000,    0.140977
    1.780000,    0.134812
    1.790000,    0.128613
    1.800000,    0.122381
    1.810000,    0.116119
    1.820000,    0.109829
    1.830000,    0.103511
    1.840000,    0.097167
    1.850000,    0.090799
    1.860000,    0.084408
    1.870000,    0.077996
    1.880000,    0.071565
    1.890000,    0.065116
    1.900000,    0.058651
    1.910000,    0.052171
    1.920000,    0.045678
    1.930000,    0.039174
    1.940000,    0.032660
    1.950000,    0.026138
    1.960000,    0.019609
    1.970000,    0.013075
    1.980000,    0.006538
    1.990000,    0.000000
