x,u
    0.000000,    0.000000
    0.010000,    0.015611
    0.020000,    0.031219
    0.030000,    0.046818
    0.040000,    0.062406
    0.050000,    0.077979
    0.060000,    0.093532
    0.070000,    0.109061
    0.080000,    0.124564
    0.090000,    0.140035
    0.100000,    0.155472
    0.110000,    0.170869
    0.120000,    0.186225
    0.130000,    0.201533
    0.140000,    0.216792
    0.150000,    0.231997
    0.160000,    0.247143
    0.170000,    0.262228
    0.180000,    0.277248
    0.190000,    0.292199
    0.200000,    0.307077
    0.210000,    0.321878
    0.220000,    0.336599
    0.230000,    0.351236
    0.240000,    0.365786
    0.250000,    0.380244
    0.260000,    0.394608
    0.270000,    0.408874
    0.280000,    0.423037
    0.290000,    0.437095
    0.300000,    0.451044
    0.310000,    0.464881
    0.320000,    0.478602
    0.330000,    0.492204
    0.340000,    0.505683
    0.350000,    0.519035
    0.360000,    0.532259
    0.370000,    0.545350
    0.380000,    0.558305
    0.390000,    0.571121
    0.400000,    0.583794
    0.410000,    0.596322
    0.420000,    0.608702
    0.430000,    0.620929
    0.440000,    0.633002
    0.450000,    0.644917
    0.460000,    0.656672
    0.470000,    0.668263
    0.480000,    0.679687
    0.490000,    0.690942
    0.500000,    0.702025
    0.510000,    0.712932
    0.520000,    0.723662
    0.530000,    0.734212
    0.540000,    0.744579
    0.550000,    0.754760
    0.560000,    0.764753
    0.570000,    0.774555
    0.580000,    0.784165
    0.590000,    0.793579
    0.600000,    0.802795
    0.610000,    0.811811
    0.620000,    0.820625
    0.630000,    0.829234
    0.640000,    0.837637
    0.650000,    0.845831
    0.660000,    0.853814
    0.670000,    0.861584
    0.680000,    0.869140
    0.690000,    0.876479
    0.700000,    0.883599
    0.710000,    0.890499
    0.720000,    0.897178
    0.730000,    0.903633
    0.740000,    0.909862
    0.750000,    0.915865
    0.760000,    0.921639
    0.770000,    0.927184
    0.780000,    0.932498
    0.790000,    0.937580
    0.800000,    0.942427
    0.810000,    0.947040
    0.820000,    0.951417
    0.830000,    0.955557
    0.840000,    0.959458
    0.850000,    0.963121
    0.860000,    0.966543
    0.870000,    0.969725
    0.880000,    0.972665
    0.890000,    0.975362
    0.900000,    0.977817
    0.910000,    0.980027
    0.920000,    0.981994
    0.930000,    0.983715
    0.940000,    0.985192
    0.950000,    0.986423
    0.960000,    0.987408
    0.970000,    0.988147
    0.980000,    0.988640
    0.990000,    0.988887
    1.000000,    0.988887
    1.010000,    0.988640
    1.020000,    0.988147
    1.030000,    0.987408
    1.040000,    0.986423
    1.050000,    0.985192
    1.060000,    0.983715
    1.070000,    0.981994
    1.080000,    0.980027
    1.090000,    0.977817
    1.100000,    0.975362
    1.110000,    0.972665
    1.120000,    0.969725
    1.130000,    0.966543
    1.140000,    0.963121
    1.150000,    0.959458
    1.160000,    0.955557
    1.170000,    0.951417
    1.180000,    0.947040
    1.190000,    0.942427
    1.200000,    0.937580
    1.210000,    0.932498
    1.220000,    0.927184
    1.230000,    0.921639
    1.240000,    0.915865
    1.250000,    0.909862
    1.260000,    0.903633
    1.270000,    0.897178
    1.280000,    0.890499
    1.290000,    0.883599
    1.300000,    0.876479
    1.310000,    0.869140
    1.320000,    0.861584
    1.330000,    0.853814
    1.340000,    0.845831
    1.350000,    0.837637
    1.360000,    0.829234
    1.370000,    0.820625
    1.380000,    0.811811
    1.390000,    0.802795
    1.400000,    0.793579
    1.410000,    0.784165
    1.420000,    0.774555
    1.430000,    0.764753
    1.440000,    0.754760
    1.450000,    0.744579
    1.460000,    0.734212
    1.470000,    0.723662
    1.480000,    0.712932
    1.490000,    0.702025
    1.500000,    0.690942
    1.510000,    0.679687
    1.520000,    0.668263
    1.530000,    0.656672
    1.540000,    0.644917
    1.550000,    0.633002
    1.560000,    0.620929
    1.570000,    0.608702
    1.580000,    0.596322
    1.590000,    0.583794
    1.600000,    0.571121
    1.610000,    0.558305
    1.620000,    0.545350
    1.630000,    0.532259
    1.640000,    0.519035
    1.650000,    0.505683
    1.660000,    0.492204
    1.670000,    0.478602
    1.680000,    0.464881
    1.690000,    0.451044
    1.700000,    0.437095
    1.710000,    0.423037
    1.720000,    0.408874
    1.730000,    0.394608
    1.740000,    0.380244
    1.750000,    0.365786
    1.760000,    0.351236
    1.770000,    0.336599
    1.780000,    0.321878
    1.790000,    0.307077
    1.800000,    0.292199
    1.810000,    0.277248
    1.820000,    0.262228
    1.830000,    0.247143
    1.840000,    0.231997
    1.850000,    0.216792
    1.860000,    0.201533
    1.870000,    0.186225
    1.880000,    0.170869
    1.890000,    0.155472
    1.900000,    0.140035
    1.910000,    0.124564
    1.920000,    0.109061
    1.930000,    0.093532
    1.940000,    0.077979
    1.950000,    0.062406
    1.960000,    0.046818
    1.970000,    0.031219
    1.980000,    0.015611
    1.990000,    0.000000
