x,u
    0.000000,    0.000000
    0.010000,    0.004438
    0.020000,    0.008875
    0.030000,    0.013309
    0.040000,    0.017740
    0.050000,    0.022167
    0.060000,    0.026588
    0.070000,    0.031003
    0.080000,    0.035410
    0.090000,    0.039808
    0.100000,    0.044196
    0.110000,    0.048574
    0.120000,    0.052939
    0.130000,    0.057290
    0.140000,    0.061628
    0.150000,    0.065950
    0.160000,    0.070256
    0.170000,    0.074544
    0.180000,    0.078814
    0.190000,    0.083064
    0.200000,    0.087294
    0.210000,    0.091501
    0.220000,    0.095686
    0.230000,    0.099847
    0.240000,    0.103983
    0.250000,    0.108093
    0.260000,    0.112176
    0.270000,    0.116232
    0.280000,    0.120258
    0.290000,    0.124254
    0.300000,    0.128220
    0.310000,    0.132153
    0.320000,    0.136054
    0.330000,    0.139920
    0.340000,    0.143752
    0.350000,    0.147548
    0.360000,    0.151307
    0.370000,    0.155028
    0.380000,    0.158711
    0.390000,    0.162354
    0.400000,    0.165957
    0.410000,    0.169518
    0.420000,    0.173037
    0.430000,    0.176513
    0.440000,    0.179945
    0.450000,    0.183333
    0.460000,    0.186674
    0.470000,    0.189969
    0.480000,    0.193217
    0.490000,    0.196416
    0.500000,    0.199567
    0.510000,    0.202667
    0.520000,    0.205718
    0.530000,    0.208717
    0.540000,    0.211664
    0.550000,    0.214558
    0.560000,    0.217398
    0.570000,    0.220185
    0.580000,    0.222917
    0.590000,    0.225593
    0.600000,    0.228213
    0.610000,    0.230776
    0.620000,    0.233281
    0.630000,    0.235729
    0.640000,    0.238117
    0.650000,    0.240447
    0.660000,    0.242716
    0.670000,    0.244925
    0.680000,    0.247073
    0.690000,    0.249159
    0.700000,    0.251183
    0.710000,    0.253145
    0.720000,    0.255043
    0.730000,    0.256878
    0.740000,    0.258649
    0.750000,    0.260356
    0.760000,    0.261997
    0.770000,    0.263573
    0.780000,    0.265084
    0.790000,    0.266528
    0.800000,    0.267906
    0.810000,    0.269218
    0.820000,    0.270462
    0.830000,    0.271639
    0.840000,    0.272748
    0.850000,    0.273789
    0.860000,    0.274762
    0.870000,    0.275666
    0.880000,    0.276502
    0.890000,    0.277269
    0.900000,    0.277967
    0.910000,    0.278595
    0.920000,    0.279154
    0.930000,    0.279644
    0.940000,    0.280063
    0.950000,    0.280413
    0.960000,    0.280693
    0.970000,    0.280903
    0.980000,    0.281044
    0.990000,    0.281114
    1.000000,    0.281114
    1.010000,    0.281044
    1.020000,    0.280903
    1.030000,    0.280693
    1.040000,    0.280413
    1.050000,    0.280063
    1.060000,    0.279644
    1.070000,    0.279154
    1.080000,    0.278595
    1.090000,    0.277967
    1.100000,    0.277269
    1.110000,    0.276502
    1.120000,    0.275666
    1.130000,    0.274762
    1.140000,    0.273789
    1.150000,    0.272748
    1.160000,    0.271639
    1.170000,    0.270462
    1.180000,    0.269218
    1.190000,    0.267906
    1.200000,    0.266528
    1.210000,    0.265084
    1.220000,    0.263573
    1.230000,    0.261997
    1.240000,    0.260356
    1.250000,    0.258649
    1.260000,    0.256878
    1.270000,    0.255043
    1.280000,    0.253145
    1.290000,    0.251183
    1.300000,    0.249159
    1.310000,    0.247073
    1.320000,    0.244925
    1.330000,    0.242716
    1.340000,    0.240447
    1.350000,    0.238117
    1.360000,    0.235729
    1.370000,    0.233281
    1.380000,    0.230776
    1.390000,    0.228213
    1.400000,    0.225593
    1.410000,    0.222917
    1.420000,    0.220185
    1.430000,    0.217398
    1.440000,    0.214558
    1.450000,    0.211664
    1.460000,    0.208717
    1.470000,    0.205718
    1.480000,    0.202667
    1.490000,    0.199567
    1.500000,    0.196416
    1.510000,    0.193217
    1.520000,    0.189969
    1.530000,    0.186674
    1.540000,    0.183333
    1.550000,    0.179945
    1.560000,    0.176513
    1.570000,    0.173037
    1.580000,    0.169518
    1.590000,    0.165957
    1.600000,    0.162354
    1.610000,    0.158711
    1.620000,    0.155028
    1.630000,    0.151307
    1.640000,    0.147548
    1.650000,    0.143752
    1.660000,    0.139920
    1.670000,    0.136054
    1.680000,    0.132153
    1.690000,    0.128220
    1.700000,    0.124254
    1.710000,    0.120258
    1.720000,    0.116232
    1.730000,    0.112176
    1.740000,    0.108093
    1.750000,    0.103983
    1.760000,    0.099847
    1.770000,    0.095686
    1.780000,    0.091501
    1.790000,    0.087294
    1.800000,    0.083064
    1.810000,    0.078814
    1.820000,    0.074544
    1.830000,    0.070256
    1.840000,    0.065950
    1.850000,    0.061628
    1.860000,    0.057290
    1.870000,    0.052939
    1.880000,    0.048574
    1.890000,    0.044196
    1.900000,    0.039808
    1.910000,    0.035410
    1.920000,    0.031003
    1.930000,    0.026588
    1.940000,    0.022167
    1.950000,    0.017740
    1.960000,    0.013309
    1.970000,    0.008875
    1.980000,    0.004438
    1.990000,    0.000000
