x,u
    0.000000,    0.000000
    0.010000,    0.008507
    0.020000,    0.017012
    0.030000,    0.025513
    0.040000,    0.034008
    0.050000,    0.042494
    0.060000,    0.050969
    0.070000,    0.059432
    0.080000,    0.067880
    0.090000,    0.076311
    0.100000,    0.084723
    0.110000,    0.093114
    0.120000,    0.101482
    0.130000,    0.109824
    0.140000,    0.118139
    0.150000,    0.126425
    0.160000,    0.134679
    0.170000,    0.142900
    0.180000,    0.151085
    0.190000,    0.159232
    0.200000,    0.167339
    0.210000,    0.175405
    0.220000,    0.183428
    0.230000,    0.191404
    0.240000,    0.199333
    0.250000,    0.207212
    0.260000,    0.215039
    0.270000,    0.222813
    0.280000,    0.230531
    0.290000,    0.238192
    0.300000,    0.245794
    0.310000,    0.253334
    0.320000,    0.260811
    0.330000,    0.268223
    0.340000,    0.275568
    0.350000,    0.282845
    0.360000,    0.290051
    0.370000,    0.297185
    0.380000,    0.304245
    0.390000,    0.311229
    0.400000,    0.318135
    0.410000,    0.324962
    0.420000,    0.331708
    0.430000,    0.338372
    0.440000,    0.344951
    0.450000,    0.351444
    0.460000,    0.357849
    0.470000,    0.364166
    0.480000,    0.370391
    0.490000,    0.376524
    0.500000,    0.382564
    0.510000,    0.388508
    0.520000,    0.394355
    0.530000,    0.400104
    0.540000,    0.405753
    0.550000,    0.411302
    0.560000,    0.416747
    0.570000,    0.422089
    0.580000,    0.427326
    0.590000,    0.432456
    0.600000,    0.437478
    0.610000,    0.442391
    0.620000,    0.447194
    0.630000,    0.451886
    0.640000,    0.456465
    0.650000,    0.460930
    0.660000,    0.465280
    0.670000,    0.469515
    0.680000,    0.473632
    0.690000,    0.477631
    0.700000,    0.481512
    0.710000,    0.485272
    0.720000,    0.488911
    0.730000,    0.492429
    0.740000,    0.495824
    0.750000,    0.499095
    0.760000,    0.502242
    0.770000,    0.505263
    0.780000,    0.508159
    0.790000,    0.510928
    0.800000,    0.513570
    0.810000,    0.516084
    0.820000,    0.518469
    0.830000,    0.520725
    0.840000,    0.522851
    0.850000,    0.524847
    0.860000,    0.526712
    0.870000,    0.528445
    0.880000,    0.530047
    0.890000,    0.531517
    0.900000,    0.532855
    0.910000,    0.534060
    0.920000,    0.535131
    0.930000,    0.536069
    0.940000,    0.536874
    0.950000,    0.537545
    0.960000,    0.538082
    0.970000,    0.538485
    0.980000,    0.538753
    0.990000,    0.538887
    1.000000,    0.538887
    1.010000,    0.538753
    1.020000,    0.538485
    1.030000,    0.538082
    1.040000,    0.537545
    1.050000,    0.536874
    1.060000,    0.536069
    1.070000,    0.535131
    1.080000,    0.534060
    1.090000,    0.532855
    1.100000,    0.531517
    1.110000,    0.530047
    1.120000,    0.528445
    1.130000,    0.526712
    1.140000,    0.524847
    1.150000,    0.522851
    1.160000,    0.520725
    1.170000,    0.518469
    1.180000,    0.516084
    1.190000,    0.513570
    1.200000,    0.510928
    1.210000,    0.508159
    1.220000,    0.505263
    1.230000,    0.502242
    1.240000,    0.499095
    1.250000,    0.495824
    1.260000,    0.492429
    1.270000,    0.488911
    1.280000,    0.485272
    1.290000,    0.481512
    1.300000,    0.477631
    1.310000,    0.473632
    1.320000,    0.469515
    1.330000,    0.465280
    1.340000,    0.460930
    1.350000,    0.456465
    1.360000,    0.451886
    1.370000,    0.447194
    1.380000,    0.442391
    1.390000,    0.437478
    1.400000,    0.432456
    1.410000,    0.427326
    1.420000,    0.422089
    1.430000,    0.416747
    1.440000,    0.411302
    1.450000,    0.405753
    1.460000,    0.400104
    1.470000,    0.394355
    1.480000,    0.388508
    1.490000,    0.382564
    1.500000,    0.376524
    1.510000,    0.370391
    1.520000,    0.364166
    1.530000,    0.357849
    1.540000,    0.351444
    1.550000,    0.344951
    1.560000,    0.338372
    1.570000,    0.331708
    1.580000,    0.324962
    1.590000,    0.318135
    1.600000,    0.311229
    1.610000,    0.304245
    1.620000,    0.297185
    1.630000,    0.290051
    1.640000,    0.282845
    1.650000,    0.275568
    1.660000,    0.268223
    1.670000,    0.260811
    1.680000,    0.253334
    1.690000,    0.245794
    1.700000,    0.238192
    1.710000,    0.230531
    1.720000,    0.222813
    1.730000,    0.215039
    1.740000,    0.207212
    1.750000,    0.199333
    1.760000,    0.191404
    1.770000,    0.183428
    1.780000,    0.175405
    1.790000,    0.167339
    1.800000,    0.159232
    1.810000,    0.151085
    1.820000,    0.142900
    1.830000,    0.134679
    1.840000,    0.126425
    1.850000,    0.118139
    1.860000,    0.109824
    1.870000,    0.101482
    1.880000,    0.093114
    1.890000,    0.084723
    1.900000,    0.076311
    1.910000,    0.067880
    1.920000,    0.059432
    1.930000,    0.050969
    1.940000,    0.042494
    1.950000,    0.034008
    1.960000,    0.025513
    1.970000,    0.017012
    1.980000,    0.008507
    1.990000,    0.000000
