x,u
    0.000000,    0.000000
    0.010000,    0.014327
    0.020000,    0.028651
    0.030000,    0.042968
    0.040000,    0.057274
    0.050000,    0.071566
    0.060000,    0.085839
    0.070000,    0.100092
    0.080000,    0.114319
    0.090000,    0.128518
    0.100000,    0.142685
    0.110000,    0.156817
    0.120000,    0.170909
    0.130000,    0.184959
    0.140000,    0.198963
    0.150000,    0.212917
    0.160000,    0.226818
    0.170000,    0.240662
    0.180000,    0.254447
    0.190000,    0.268168
    0.200000,    0.281822
    0.210000,    0.295406
    0.220000,    0.308917
    0.230000,    0.322350
    0.240000,    0.335703
    0.250000,    0.348973
    0.260000,    0.362155
    0.270000,    0.375247
    0.280000,    0.388246
    0.290000,    0.401148
    0.300000,    0.413950
    0.310000,    0.426649
    0.320000,    0.439241
    0.330000,    0.451724
    0.340000,    0.464094
    0.350000,    0.476349
    0.360000,    0.488485
    0.370000,    0.500499
    0.380000,    0.512389
    0.390000,    0.524151
    0.400000,    0.535782
    0.410000,    0.547280
    0.420000,    0.558641
    0.430000,    0.569863
    0.440000,    0.580943
    0.450000,    0.591878
    0.460000,    0.602666
    0.470000,    0.613304
    0.480000,    0.623788
    0.490000,    0.634118
    0.500000,    0.644289
    0.510000,    0.654300
    0.520000,    0.664147
    0.530000,    0.673829
    0.540000,    0.683343
    0.550000,    0.692687
    0.560000,    0.701858
    0.570000,    0.710855
    0.580000,    0.719674
    0.590000,    0.728314
    0.600000,    0.736772
    0.610000,    0.745046
    0.620000,    0.753135
    0.630000,    0.761037
    0.640000,    0.768748
    0.650000,    0.776268
    0.660000,    0.783595
    0.670000,    0.790726
    0.680000,    0.797660
    0.690000,    0.804396
    0.700000,    0.810930
    0.710000,    0.817263
    0.720000,    0.823392
    0.730000,    0.829316
    0.740000,    0.835034
    0.750000,    0.840543
    0.760000,    0.845842
    0.770000,    0.850931
    0.780000,    0.855808
    0.790000,    0.860472
    0.800000,    0.864921
    0.810000,    0.869154
    0.820000,    0.873171
    0.830000,    0.876970
    0.840000,    0.880551
    0.850000,    0.883912
    0.860000,    0.887053
    0.870000,    0.889973
    0.880000,    0.892671
    0.890000,    0.895147
    0.900000,    0.897399
    0.910000,    0.899428
    0.920000,    0.901233
    0.930000,    0.902813
    0.940000,    0.904168
    0.950000,    0.905298
    0.960000,    0.906202
    0.970000,    0.906880
    0.980000,    0.907333
    0.990000,    0.907559
    1.000000,    0.907559
    1.010000,    0.907333
    1.020000,    0.906880
    1.030000,    0.906202
    1.040000,    0.905298
    1.050000,    0.904168
    1.060000,    0.902813
    1.070000,    0.901233
    1.080000,    0.899428
    1.090000,    0.897399
    1.100000,    0.895147
    1.110000,    0.892671
    1.120000,    0.889973
    1.130000,    0.887053
    1.140000,    0.883912
    1.150000,    0.880551
    1.160000,    0.876970
    1.170000,    0.873171
    1.180000,    0.869154
    1.190000,    0.864921
    1.200000,    0.860472
    1.210000,    0.855808
    1.220000,    0.850931
    1.230000,    0.845842
    1.240000,    0.840543
    1.250000,    0.835034
    1.260000,    0.829316
    1.270000,    0.823392
    1.280000,    0.817263
    1.290000,    0.810930
    1.300000,    0.804396
    1.310000,    0.797660
    1.320000,    0.790726
    1.330000,    0.783595
    1.340000,    0.776268
    1.350000,    0.768748
    1.360000,    0.761037
    1.370000,    0.753135
    1.380000,    0.745046
    1.390000,    0.736772
    1.400000,    0.728314
    1.410000,    0.719674
    1.420000,    0.710855
    1.430000,    0.701858
    1.440000,    0.692687
    1.450000,    0.683343
    1.460000,    0.673829
    1.470000,    0.664147
    1.480000,    0.654300
    1.490000,    0.644289
    1.500000,    0.634118
    1.510000,    0.623788
    1.520000,    0.613304
    1.530000,    0.602666
    1.540000,    0.591878
    1.550000,    0.580943
    1.560000,    0.569863
    1.570000,    0.558641
    1.580000,    0.547280
    1.590000,    0.535782
    1.600000,    0.524151
    1.610000,    0.512389
    1.620000,    0.500499
    1.630000,    0.488485
    1.640000,    0.476349
    1.650000,    0.464094
    1.660000,    0.451724
    1.670000,    0.439241
    1.680000,    0.426649
    1.690000,    0.413950
    1.700000,    0.401148
    1.710000,    0.388246
    1.720000,    0.375247
    1.730000,    0.362155
    1.740000,    0.348973
    1.750000,    0.335703
    1.760000,    0.322350
    1.770000,    0.308917
    1.780000,    0.295406
    1.790000,    0.281822
    1.800000,    0.268168
    1.810000,    0.254447
    1.820000,    0.240662
    1.830000,    0.226818
    1.840000,    0.212917
    1.850000,    0.198963
    1.860000,    0.184959
    1.870000,    0.170909
    1.880000,    0.156817
    1.890000,    0.142685
    1.900000,    0.128518
    1.910000,    0.114319
    1.920000,    0.100092
    1.930000,    0.085839
    1.940000,    0.071566
    1.950000,    0.057274
    1.960000,    0.042968
    1.970000,    0.028651
    1.980000,    0.014327
    1.990000,    0.000000
